Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,1073.449951,1092.699951,1065.000000,1090.300049,1090.300049,7582518
2018-11-06,1094.000000,1112.000000,1091.599976,1104.099976,1104.099976,8634266
2018-11-09,1106.250000,1113.800049,1085.000000,1093.449951,1093.449951,10840462
2018-11-12,1097.699951,1098.800049,1074.550049,1080.000000,1080.000000,5801720
2018-11-13,1074.000000,1103.000000,1070.050049,1099.449951,1099.449951,6811587
2018-11-14,1105.050049,1112.650024,1085.500000,1097.949951,1097.949951,7787530
2018-11-15,1096.949951,1103.000000,1086.500000,1096.849976,1096.849976,6831740
2018-11-16,1097.949951,1129.949951,1097.099976,1127.400024,1127.400024,11031889
2018-11-19,1132.900024,1151.699951,1131.000000,1150.000000,1150.000000,7308981
2018-11-20,1145.000000,1155.900024,1130.000000,1137.400024,1137.400024,5719901
2018-11-21,1137.500000,1145.500000,1107.050049,1112.900024,1112.900024,7507812
2018-11-22,1114.500000,1125.349976,1100.099976,1102.849976,1102.849976,5792568
2018-11-26,1109.000000,1117.500000,1097.400024,1109.750000,1109.750000,6386556
2018-11-27,1107.900024,1130.000000,1105.449951,1128.199951,1128.199951,6810228
2018-11-28,1132.449951,1157.750000,1126.300049,1152.650024,1152.650024,8003964
2018-11-29,1161.000000,1179.900024,1160.000000,1168.500000,1168.500000,12636169
2018-11-30,1172.300049,1186.000000,1162.300049,1167.550049,1167.550049,10717448
2018-12-03,1174.900024,1174.900024,1148.500000,1156.449951,1156.449951,5569575
2018-12-04,1158.000000,1158.000000,1142.199951,1152.300049,1152.300049,5192825
